variant,seed,duration_s,outcome,mission_complete,fire_overrun,extinction_time_s,fire_damage,burning_health_mean,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,drones_lost,near_misses,min_distance_m,emergency_fraction,time_patrol,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,time_out_of_service,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_per_drone_m,control_effort_rate,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
ricerca casuale,1,300.0,tempo scaduto,,False,,25221.953600001067,84.07317866667022,0,10,5,16.187272727272727,0,1.805454545454542,0,0,0,1.051327888935075,0.0,0.6916694444466474,0.11646388888882324,0.040716666666669905,0.0924944444444006,0.03826111111111658,0.020394444444444628,0.0,0.7981348593582418,0.0,3.935428571428532,12.829999999999771,240.28113390441982,0.31207347003532715,0,0.0,0.8166666666666702,0.0,0.1821354461422348,0.029833333333333406,1.3862857969337525,32.254989292292755,16.951588281249972,46.95816401955412,227.41
ricerca casuale,2,232.19,incendi fuori controllo,,True,,226838.4397500075,976.9518056333499,46,6,41,5.29576923076923,27,8.514375000000005,0,0,0,0.8805710111064619,0.0,0.727794765780288,0.10280014930297189,0.044751424838862894,0.06170234147321469,0.04358140603242504,0.01936991257160007,0.0,0.5772053995595249,0.0,4.336785714285666,8.66999999999986,184.07294887604812,0.2761896831613813,0,0.0,0.7365359758724686,0.0,0.08832187888240772,0.01443343386471341,0.2581833517537626,24.07313480817761,13.525167110979488,34.87437296504268,108.82000000000001
ricerca casuale,3,300.0,tempo scaduto,,False,,35265.31044999916,117.55103483333053,0,4,3,49.05666666666667,2,1.1733333333333344,0,0,0,1.0797248989621,0.0,0.8516861111168069,0.059349999999986296,0.022936111111112593,0.034750000000007525,0.020722222222222572,0.010555555555555835,0.0,0.516709535481472,0.0,3.9263157894736445,8.959999999999853,255.71763374021262,0.28397039357351367,0,0.0,0.5283333333333373,0.0,0.05557870370370285,0.017222222222222187,1.7934679443303774,31.378751965620967,19.158158784722247,41.166838301352314,181.5
ricerca casuale,4,300.0,tempo scaduto,,False,,14823.016749999351,49.41005583333117,0,7,3,9.239999999999997,1,1.04571428571429,0,0,0,1.0808704614582698,0.0,0.853644444450183,0.052005555555548526,0.02650833333333664,0.0372611111111175,0.01892777777777721,0.01165277777777784,0.0,0.5321274160163415,0.0,3.2447619047618783,5.569999999999926,256.80975216637864,0.25268800217608445,0,0.0,0.47572222222222527,0.0,0.14206070365490825,0.0014999999999999996,0.9591301640024887,27.27242593643946,19.82964131944444,35.04161947002922,167.0
ricerca casuale,5,300.0,tempo scaduto,,False,,13066.93154999803,43.55643849999343,0,1,1,24.88,1,1.5200000000000031,0,0,0,0.994203900568822,0.0,0.9069916666735697,0.034594444444451894,0.01330277777777751,0.025636111111113975,0.013363888888888611,0.006111111111111288,0.0,0.5781733086171948,0.0,4.373636363636315,8.589999999999861,256.37033918313585,0.2713741747966952,2,0.0,0.515277777777781,0.0,0.21064814814814858,0.0004999999999999999,0.21282159017453237,30.34287686702438,22.334067586805546,36.78792606268281,263.7
ricerca casuale,6,300.0,tempo scaduto,,False,,21642.550699997475,72.14183566665825,0,7,3,20.410000000000004,1,1.181428571428567,0,0,1,0.6378642035322527,0.0004611111111114069,0.7640083333371153,0.09805555555550666,0.029005555555560142,0.0747833333333056,0.021369444444445124,0.012777777777777615,0.0,0.9064013805302729,0.0,3.3447826086956245,5.049999999999937,252.51865061515085,0.2857178491426882,0,0.0,0.6734999999999983,0.0,0.22187921727395354,0.02211111111111111,0.8756014512977918,33.2212537885964,27.453653506944452,38.34202357090643,231.20000000000002
ricerca casuale,7,300.0,tempo scaduto,,False,,15962.153649999966,53.20717883333322,0,7,3,19.805714285714284,1,1.5628571428571474,0,0,0,1.0701053511156464,0.0,0.8049000000046745,0.06935833333331053,0.029208333333338023,0.06376666666664894,0.020019444444444433,0.012747222222222066,0.0,0.7093883733154663,0.0,2.8827999999999805,7.139999999999892,252.14379981392014,0.3053585976154006,0,0.0,0.5026111111111115,0.0,0.15949065774271776,0.006916666666666668,1.0768615333221967,33.49450795655837,24.9234016493055,39.100988128655004,300.0
ricerca casuale,8,195.05,incendi fuori controllo,,True,,179861.2894000092,922.1291432966377,38,5,41,9.632083333333334,20,5.087999999999996,0,0,0,1.1559831122843605,0.0,0.881876441937381,0.031406476971716946,0.030116209518926407,0.03011193711014233,0.015380671622661456,0.011108262838588935,0.0,0.3211065343061938,0.0,2.3999999999999875,6.069999999999915,169.43835020253292,0.24867430499959975,0,0.0,0.26700854700854637,0.0,0.02786118586296292,0.03662393162393152,1.5738540626871502,21.777320708428647,11.489832612179512,30.53389856893836,92.7
ricerca casuale,9,300.0,tempo scaduto,,False,,13658.836699998237,45.52945566666079,0,10,2,5.624000000000001,1,3.261999999999999,0,0,0,1.0399574692753115,0.0,0.7548944444480274,0.0853555555555182,0.032777777777784296,0.08111111111107762,0.030872222222227765,0.014988888888888286,0.0,0.8638565639243851,0.0,4.274615384615341,16.609999999999797,250.2086042964269,0.2673412640576583,0,0.0,0.5801666666666593,0.0,0.23115079365079252,0.03186111111111118,1.4789219788333645,24.13794740538755,12.258065121527778,35.528083911732445,112.44
ricerca casuale,10,300.0,tempo scaduto,,False,,14288.282650000336,47.62760883333445,0,8,3,12.356666666666667,0,1.1711111111111105,0,0,0,1.0197955053532297,0.0,0.8222250000050527,0.05434166666665752,0.03362222222222917,0.04837777777777405,0.026511111111114424,0.014922222222221634,0.0,0.6975336266001173,0.0,3.534814814814783,6.919999999999897,251.2413732550907,0.2637750267491446,0,0.0,0.5077222222222296,0.0,0.14908060330052333,0.025083333333333343,0.9381359223301048,24.154175254887846,17.04736814236112,32.14094013432008,143.1
ricerca casuale,11,300.0,tempo scaduto,,False,,12864.767849999049,42.88255949999683,0,6,3,11.838571428571425,0,1.0542857142857176,0,0,0,1.0248887331859624,0.0,0.8642666666726371,0.051241666666660336,0.027991666666670734,0.021436111111111825,0.023411111111112836,0.01165277777777784,0.0,0.7540501172854875,0.0,4.013333333333291,12.299999999999782,253.1465205121998,0.24867085512376955,3,0.0,0.4823888888888904,0.0,0.13059122774365844,0.018583333333333344,0.666388313779614,22.78315466638605,15.581219166666658,30.288374194992745,162.1
ricerca casuale,12,300.0,tempo scaduto,,False,,7229.609299999567,24.098697666665224,0,4,2,17.0625,1,0.9933333333333394,0,0,0,0.9962147767028466,0.0,0.8947888888955254,0.0320555555555617,0.01760833333333221,0.033550000000006915,0.013702777777777432,0.008294444444444963,0.0,0.6063557881709488,0.0,3.2886666666666406,5.84999999999992,259.5848729035061,0.2521490357592969,0,0.0,0.4551111111111133,0.0,0.17051024955436733,0.007472222222222192,0.9080117531831494,23.31427416182292,15.968665399305568,31.708410895467775,88.96000000000001
copertura persistente,1,300.0,tempo scaduto,,False,,16323.866750000818,54.412889166669395,0,10,5,15.774545454545454,0,1.9863636363636346,0,0,0,1.0147214003609186,0.0,0.6798277777797223,0.13769166666658172,0.03575277777778553,0.09372777777773281,0.03590000000000762,0.017099999999998977,0.0,0.8125779154985199,0.0,4.307999999999952,12.729999999999773,239.72703557552194,0.9215426482490675,1,0.0,1.2467777777777778,0.025,0.3625711152238003,0.022138888888888934,0.2699833689712396,52.33768601664374,19.934630312500023,89.54329035270477,100.78
copertura persistente,2,300.0,tempo scaduto,,False,,50645.29934999346,168.8176644999782,0,9,4,20.83625,2,2.055000000000006,0,0,0,0.8805710111064619,0.0,0.7686750000038838,0.09364444444439955,0.03036944444444973,0.06765833333331207,0.026769444444447888,0.012883333333333151,0.0,0.6700825837234264,0.0,4.189999999999955,10.259999999999826,238.87048410932627,1.0533137726603141,0,0.0,1.0964444444444417,0.048,0.10239120370370437,0.0078055555555555335,0.3937248276794179,53.93345764993434,21.151598940972228,88.83512460160831,125.53
copertura persistente,3,300.0,tempo scaduto,,False,,20292.309099999828,67.64103033333276,0,4,2,14.897499999999999,1,1.3349999999999995,0,0,0,1.0108813111841553,0.0,0.8178000000049561,0.061313888888873395,0.019911111111111046,0.057997222222209745,0.03410833333334053,0.008869444444445053,0.0,0.8320651972977817,0.0,7.674375000000072,27.520000000001502,243.12030578925575,1.0140436747420576,1,0.0,1.0661666666666703,0.046,0.11887531328320712,0.0040833333333333425,0.13953773777868597,48.34446843692223,14.409837291666673,87.33038364766072,78.48
copertura persistente,4,300.0,tempo scaduto,,False,,45993.24239999202,153.3108079999734,0,7,5,29.465714285714284,1,3.331428571428573,0,0,0,1.0231370384047893,0.0,0.7671194444482943,0.09793611111106232,0.032627777777784216,0.051458333333326806,0.03482777777778534,0.016030555555554746,0.0,0.4854768420586932,0.0,4.323448275862021,9.429999999999843,246.20808611069452,0.8703338245992761,0,0.0,0.886055555555555,0.017666666666666667,0.10536759259259142,0.008749999999999996,0.6727098487472576,44.68166118767639,18.51625944444441,73.52619362298978,87.99
copertura persistente,5,300.0,tempo scaduto,,False,,23519.8164499962,78.399388166654,0,1,1,48.305000000000014,0,1.4749999999999943,0,0,0,1.0646447827658727,0.0,0.8770500000062494,0.0525138888888814,0.017130555555554528,0.03123333333333906,0.01540555555555487,0.006666666666666931,0.0,0.8019273871297855,0.0,4.621666666666613,8.339999999999867,254.30093001099732,1.0573162686052406,3,0.0,0.8953333333333341,0.006,0.21080597643097587,0.002888888888888886,0.2037908659845271,51.400997555905164,16.640591684027775,91.26992034630848,79.92
copertura persistente,6,300.0,tempo scaduto,,False,,17127.161299997657,57.090537666658854,0,7,3,18.11714285714286,1,1.3514285714285705,0,0,1,0.6378642035322527,0.00032777777777798797,0.7537305555591132,0.10597222222216612,0.02783888888889288,0.08021388888885621,0.020577777777778052,0.011666666666666726,0.0,0.9477716596567161,0.0,3.3672727272726988,7.319999999999888,243.44265660209268,1.0020293552775135,5,0.0,1.0756666666666643,0.019,0.2643404488232075,0.015444444444444516,0.22907417658455684,56.34709832558261,21.059584809027758,91.52107130573826,90.82000000000001
copertura persistente,7,181.24,incendi fuori controllo,,True,,145688.19145000688,803.841268207939,38,5,41,25.093333333333334,41,1.4499999999999982,0,0,0,1.1055635186799824,0.0,0.9026107187515447,0.057506621054967205,0.012957036710072098,0.018401015228426673,0.004846244390495025,0.0036783638637533445,0.0,0.6924475129687806,0.0,2.6349999999999874,4.1699999999999555,156.38104583755972,1.0273104414101937,0,0.0,0.7502759381898484,0.0005518763796909492,0.007167252692152465,0.006852465047829292,0.20347488348006212,33.18204409279737,14.068855230178443,54.54253092353376,61.08
copertura persistente,8,300.0,tempo scaduto,,False,,37280.957099995554,124.26985699998518,0,9,3,19.875714285714288,3,1.1100000000000025,0,0,0,1.0354972512730032,0.0,0.7750472222262451,0.10123333333328154,0.028997222222226806,0.06428611111109292,0.0176583333333322,0.012777777777777615,0.0,0.8195195026578351,0.0,2.7639130434782455,4.599999999999946,247.100483406898,1.0004984828490642,2,0.0,0.9543888888888918,0.0036666666666666666,0.10229166666666646,0.020194444444444473,0.6214842017738341,45.754879374957206,17.80571432291665,77.20395668037271,136.6
copertura persistente,9,300.0,tempo scaduto,,False,,12300.509499999449,41.0016983333315,0,10,4,7.580000000000003,1,1.038999999999998,0,0,0,1.049489329148352,0.0,0.7513555555590613,0.0991055555555057,0.031902777777783844,0.08159722222218829,0.022794444444445856,0.013244444444444189,0.0,0.8615224372112006,0.0,3.2823999999999747,6.039999999999916,249.86893649381258,0.824038206532559,1,0.0,0.8926111111111111,0.009666666666666667,0.2659376471280564,0.031027777777777734,0.7398567164179072,45.29150452413556,12.335393680555551,82.72455002101614,78.35000000000001
copertura persistente,10,300.0,tempo scaduto,,False,,20366.10315000133,67.88701050000444,0,8,4,22.121249999999996,1,2.1487500000000033,0,0,0,1.0515026471493694,0.0,0.7925111111155152,0.0847944444444076,0.031911111111117184,0.050388888888883335,0.025425000000002754,0.014969444444443846,0.0,0.8249625794001014,0.0,3.3899999999999717,5.969999999999917,247.03898363212787,0.9319337678547598,6,0.0,0.891666666666661,0.009666666666666667,0.16280207258341883,0.007027777777777792,0.7952538439222503,48.37686591888697,15.560542986111104,84.97819332785078,92.09
